原句,分词,词频,关键词(TF-IDF),关键词(TextRank),关键词(我们的方法)
,智慧,1,,,
,方式,1,,,
,推动,1,,,
,把握,1,,,
,我们,1,,,
,建设,1,,,
,实现,1,,,
,天险,1,,,
,增长,1,,,
,增强,1,,,
,基点,1,,,
,坚定不移,1,,,
,华山,1,,,
,勇气,1,,,
,加快,1,,,
,创新型,1,,,
,切实,1,,,
,关键,1,,,
,中心环节,1,,,
,一定,1,,,
,,,,,
今后一个时期，是浙江全面建设小康社会的关键时期。我们必须加快提高自主创新能力，努力在创新型省份建设方面走在前列。总体目标是：到2010年，全省全社会研究开发投入占生产总值的比重达到1.5%以上，科技进步贡献率达到50%以上，发明专利授权量和国际科学论文被引用数均居全国先进水平，高新技术产业产值超过1万亿元，其中高技术产业产值超过5000亿元，高新技术产业增加值占工业增加值比重达到25%左右。突破和掌握一批对浙江经济社会发展具有明显带动作用的核心关键技术，培养和造就一支具有国内领先水平的创新人才队伍，提高全民的创新意识和科技素养，基本建成具有浙江特色的区域创新体系。到2020年，全社会研究开发投入占生产总值的比重提高到2.5%以上，科技进步贡献率达到65%以上，使浙江成为科技对经济社会发展发挥决定性作用，高新技术产业成为主导产业，传统产业得到全面改造提升，创新创业环境优越，具有持续创新能力的创新型省份，基本建成科技综合实力、区域创新能力、公众科学素质居于全国前列的科技强省。,达到,4,创新能力,创新能力,创新
,科技,4,高新技术,高新技术,科技
,浙江,4,浙江,浙江,发展
,创新,4,科技,科技,建设
,具有,4,创新,创新,加快
,以上,4,产业,产业,产业
,产业,4,科技进步,科技进步,我们
,高新技术,3,比重,比重,科学
,比重,3,贡献率,贡献率,研究
,提高,3,达到,达到,国际
,创新能力,3,以上,以上,自主
,超过,2,具有,具有,体系
,贡献率,2,创新型,创新型,社会
,经济社会,2,省份,省份,发挥
,科技进步,2,增加值,增加值,提高
,社会,2,,,
,研究,2,,,
,省份,2,,,
,生产总值,2,,,
,投入,2,,,
,成为,2,,,
,开发,2,,,
,建设,2,,,
,建成,2,,,
,增加值,2,,,
,基本,2,,,
,发展,2,,,
,区域,2,,,
,前列,2,,,
,创新型,2,,,
,全面,2,,,
,全国,2,,,
,作用,2,,,
,产值,2,,,
,高技术,1,,,
,领先水平,1,,,
,造就,1,,,
,自主,1,,,
,综合,1,,,
,素质,1,,,
,素养,1,,,
,突破,1,,,
,科学论文,1,,,
,科学,1,,,
,环境,1,,,
,特色,1,,,
,水平,1,,,
,核心,1,,,
,明显,1,,,
,时期,1,,,
,方面,1,,,
,数均,1,,,
,改造,1,,,
,提升,1,,,
,掌握,1,,,
,授权量,1,,,
,持续,1,,,
,我们,1,,,
,意识,1,,,
,总体目标,1,,,
,必须,1,,,
,得到,1,,,
,强省,1,,,
,引用,1,,,
,带动,1,,,
,左右,1,,,
,工业,1,,,
,居于,1,,,
,小康社会,1,,,
,实力,1,,,
,培养,1,,,
,国际,1,,,
,国内,1,,,
,发明专利,1,,,
,发挥,1,,,
,努力,1,,,
,加快,1,,,
,创业,1,,,
,决定性,1,,,
,其中,1,,,
,关键时期,1,,,
,关键技术,1,,,
,公众,1,,,
,全省,1,,,
,全民,1,,,
,先进,1,,,
,体系,1,,,
,传统产业,1,,,
,优越,1,,,
,今后,1,,,
,亿元,1,,,
,人才队伍,1,,,
,主导产业,1,,,
,万亿元,1,,,
,一支,1,,,
,一批,1,,,
,一个,1,,,
,65%,1,,,
,5000,1,,,
,50%,1,,,
,25%,1,,,
,2020,1,,,
,2010,1,,,
,2.5%,1,,,
,1.5%,1,,,
,,,,,
坚持有所为有所不为，努力实现重点突破和跨越发展。“十一五”期间，浙江科技发展的战略重点：一是把发展能源、山海资源开发、水资源节约和环境保护技术放在优先位置，集中力量解决制约经济社会发展的重大瓶颈问题。二是加快电子信息、生物医药、新材料、先进装备制造等高技术产业发展，把获取核心技术的自主知识产权，作为提高浙江产业竞争力的突破口。三是加快信息技术、生物技术、新材料技术等在传统工业中的应用，全面提升传统产业的技术水平。四是加快生物技术、信息技术在农业中的推广应用，大力发展高效生态农业。五是加快人口健康、公共安全等社会发展领域的科技进步，为构建和谐社会提供科技支撑。要围绕这些战略重点，立足支撑经济社会发展的需求，组织实施好高新技术产业、传统制造业、装备制造业、现代农业、环境资源、海洋开发、健康与安全、服务业信息化等“八大科技创新”工程，明确技术基础较好、近期有望突破的优先主题，筛选出若干个战略产品或关键共性技术作为重大专项，集中力量，重点攻克，努力实现跨越发展。,发展,8,发展,发展,创新
,技术,6,技术,技术,科技
,加快,4,加快,加快,发展
,科技,3,战略重点,战略重点,技术
,产业,3,集中力量,集中力量,加快
,集中力量,2,努力实现,努力实现,产业
,重点,2,科技,科技,领域
,重大,2,信息技术,信息技术,战略
,跨越,2,产业,产业,自主
,资源,2,跨越,跨越,基础
,装备,2,经济社会,经济社会,社会
,经济社会,2,优先,优先,关键
,突破,2,制造业,制造业,农业
,生物,2,浙江,浙江,重大
,浙江,2,四是,四是,坚持
,材料,2,,,
,支撑,2,,,
,战略重点,2,,,
,开发,2,,,
,努力实现,2,,,
,制造业,2,,,
,健康,2,,,
,信息技术,2,,,
,作为,2,,,
,传统,2,,,
,优先,2,,,
,高新技术,1,,,
,高效,1,,,
,高技术,1,,,
,领域,1,,,
,需求,1,,,
,问题,1,,,
,这些,1,,,
,近期,1,,,
,解决,1,,,
,获取,1,,,
,若干个,1,,,
,节约,1,,,
,自主,1,,,
,能源,1,,,
,组织,1,,,
,筛选,1,,,
,竞争力,1,,,
,立足,1,,,
,突破口,1,,,
,科技进步,1,,,
,社会,1,,,
,知识产权,1,,,
,电子信息,1,,,
,生物医药,1,,,
,生态农业,1,,,
,瓶颈,1,,,
,现代农业,1,,,
,环境保护,1,,,
,环境,1,,,
,海洋,1,,,
,水资源,1,,,
,核心技术,1,,,
,构建,1,,,
,期间,1,,,
,服务业,1,,,
,有望,1,,,
,有所为有所不为,1,,,
,明确,1,,,
,放在,1,,,
,攻克,1,,,
,提高,1,,,
,提升,1,,,
,提供,1,,,
,推广应用,1,,,
,技术水平,1,,,
,战略,1,,,
,应用,1,,,
,工程,1,,,
,工业,1,,,
,山海,1,,,
,实施,1,,,
,安全,1,,,
,大力发展,1,,,
,基础,1,,,
,坚持,1,,,
,围绕,1,,,
,四是,1,,,
,和谐社会,1,,,
,十一五,1,,,
,制造,1,,,
,制约,1,,,
,创新,1,,,
,农业,1,,,
,关键,1,,,
,共性,1,,,
,公共安全,1,,,
,八大,1,,,
,全面,1,,,
,先进,1,,,
,信息化,1,,,
,位置,1,,,
,传统产业,1,,,
,人口,1,,,
,产品,1,,,
,五是,1,,,
,二是,1,,,
,主题,1,,,
,专项,1,,,
,三是,1,,,
,一是,1,,,
,,,,,
坚持以强化企业主体地位为重点，加快推进区域创新体系建设。浙江建设创新型省份，关键是要让企业成为技术创新的决策主体、投入主体、利益主体和风险承担主体，建立以企业为主体、市场为导向、产学研相结合的开放型区域创新体系。要依托大企业大集团，鼓励支持企业主动面向科研机构、高等院校寻求智力支撑，开展产学研合作，建立具有较强研究开发能力的企业工程中心和技术中心。大学和科研院所要在加强战略高技术研究和基础性科学研究的同时，注重成果转化，积极为企业开展技术创新提供坚实的科学和技术支撑。大力扶持中小企业的技术创新活动，重点办好各类企业孵化器，培育一批具有创新能力和成长潜力的高技术中小企业。加快发展为企业服务的各种科技中介服务机构，促进企业之间、企业与高等院校和科研院所之间的知识流动和技术转移。研究制定鼓励企业自主创新的政策，降低企业创新成本，增强企业创新动力。,企业,14,企业,企业,创新
,主体,6,主体,主体,科技
,创新,5,创新,创新,发展
,研究,3,技术创新,技术创新,技术
,技术创新,3,产学研,产学研,建设
,技术,3,科研院所,科研院所,加快
,鼓励,2,高技术,高技术,加强
,高等院校,2,高等院校,高等院校,合作
,高技术,2,技术,技术,科学
,重点,2,中小企业,中小企业,战略
,科研院所,2,研究,研究,企业
,服务,2,鼓励,鼓励,研究
,支撑,2,开展,开展,自主
,开展,2,加快,加快,体系
,建设,2,体系,体系,关键
,建立,2,,,
,区域,2,,,
,加快,2,,,
,具有,2,,,
,体系,2,,,
,产学研,2,,,
,之间,2,,,
,中心,2,,,
,中小企业,2,,,
,风险,1,,,
,面向,1,,,
,集团,1,,,
,降低,1,,,
,较强,1,,,
,转移,1,,,
,转化,1,,,
,自主,1,,,
,能力,1,,,
,积极,1,,,
,科研机构,1,,,
,科技,1,,,
,科学研究,1,,,
,科学,1,,,
,知识,1,,,
,省份,1,,,
,相结合,1,,,
,潜力,1,,,
,浙江,1,,,
,流动,1,,,
,活动,1,,,
,注重,1,,,
,机构,1,,,
,智力,1,,,
,政策,1,,,
,支持,1,,,
,提供,1,,,
,推进,1,,,
,投入,1,,,
,承担,1,,,
,扶持,1,,,
,战略,1,,,
,成长,1,,,
,成果,1,,,
,成本,1,,,
,成为,1,,,
,强化,1,,,
,开放型,1,,,
,开发,1,,,
,市场,1,,,
,工程,1,,,
,导向,1,,,
,寻求,1,,,
,孵化器,1,,,
,大学,1,,,
,大力,1,,,
,增强,1,,,
,基础性,1,,,
,培育,1,,,
,坚持,1,,,
,坚实,1,,,
,地位,1,,,
,同时,1,,,
,合作,1,,,
,各类,1,,,
,各种,1,,,
,发展,1,,,
,动力,1,,,
,加强,1,,,
,办好,1,,,
,制定,1,,,
,利益,1,,,
,创新能力,1,,,
,创新型,1,,,
,决策,1,,,
,关键,1,,,
,促进,1,,,
,依托,1,,,
,主动,1,,,
,中介,1,,,
,一批,1,,,
,,,,,
坚持改革创新、开放集成，进一步增强自主创新的动力和活力。以开放的思路、市场的办法集聚和配置创新要素，推动科技进步与创新，是浙江科技工作的一大特点和优势。要继续抓好体制机制创新，建立健全技术创新机制和现代知识产权制度。深化科研体制改革，鼓励发展民营科研机构，做强做大一批重点科研院所。加快高校重点学科建设，支持浙江大学和中国美术学院向世界一流大学发展，支持有条件的省属高校建设成为研究型大学或教学研究型大学，大力发展职业技术教育。充分发挥市场在配置科技资源中的基础性作用，进一步解决好科技与经济“两张皮”的问题。要在全国乃至全球范围配置创新资源，为我所用。积极整合现有技术，推进集成创新，鼓励企业在引进国外先进技术的同时，切实抓好消化、吸收和再创新工作。,创新,8,创新,创新,创新
,配置,3,研究型,研究型,科技
,科技,3,配置,配置,发展
,技术,3,科技,科技,技术
,鼓励,2,集成,集成,建设
,高校,2,高校,高校,经济
,集成,2,技术,技术,推动
,进一步,2,开放,开放,加快
,资源,2,鼓励,鼓励,世界
,研究型,2,一流大学,一流大学,企业
,机制,2,重点学科,重点学科,自主
,支持,2,继续抓好,继续抓好,推进
,开放,2,机制,机制,坚持
,建设,2,做强,做强,全球
,市场,2,中国美术学院,中国美术学院,优势
,工作,2,,,
,大学,2,,,
,发展,2,,,
,集聚,1,,,
,问题,1,,,
,重点学科,1,,,
,重点,1,,,
,解决,1,,,
,要素,1,,,
,范围,1,,,
,自主,1,,,
,职业,1,,,
,继续抓好,1,,,
,经济,1,,,
,积极,1,,,
,科研院所,1,,,
,科研机构,1,,,
,科研,1,,,
,科技进步,1,,,
,知识产权,1,,,
,省属,1,,,
,现有,1,,,
,现代,1,,,
,特点,1,,,
,深化,1,,,
,消化,1,,,
,浙江大学,1,,,
,浙江,1,,,
,活力,1,,,
,民营,1,,,
,条件,1,,,
,整合,1,,,
,教育,1,,,
,教学,1,,,
,改革,1,,,
,推进,1,,,
,推动,1,,,
,抓好,1,,,
,技术创新,1,,,
,成为,1,,,
,思路,1,,,
,引进,1,,,
,建立健全,1,,,
,大力发展,1,,,
,增强,1,,,
,基础性,1,,,
,坚持,1,,,
,国外,1,,,
,吸收,1,,,
,同时,1,,,
,动力,1,,,
,加快,1,,,
,办法,1,,,
,制度,1,,,
,切实,1,,,
,全球,1,,,
,全国,1,,,
,先进,1,,,
,充分发挥,1,,,
,做强,1,,,
,作用,1,,,
,体制改革,1,,,
,体制,1,,,
,优势,1,,,
,企业,1,,,
,乃至,1,,,
,为我所用,1,,,
,中国美术学院,1,,,
,两张皮,1,,,
,世界,1,,,
,一流大学,1,,,
,一批,1,,,
,一大,1,,,
,,,,,
坚持以人才为本，建设造就一支结构合理、素质优良、实力强劲的创新人才队伍。自主创新，人才为先，人才为本。各级领导干部要强化人才资源是第一资源的意识，做到求贤若渴，爱才如命，惜才如金，唯才是用，以强烈的责任感和紧迫感来培养造就和使用好人才。全面实施人才强省战略，加快推进“百千万科技创新人才工程”和“创新领军人才计划”，努力建设一支规模宏大、结构合理、素质优良的创新型人才队伍。同时，还要完善人才激励机制，更好地落实和完善技术要素参与分配的政策，加大科技奖励力度，充分调动创新人才和科技人员的积极性、创造性。,人才,9,人才,人才,创新
,创新,5,创新,创新,科技
,造就,2,为本,为本,技术
,结构合理,2,人才队伍,人才队伍,建设
,素质,2,结构合理,结构合理,加快
,科技,2,造就,造就,人才
,建设,2,素质,素质,战略
,完善,2,优良,优良,自主
,优良,2,爱才如命,爱才如命,推进
,人才队伍,2,百千万,百千万,坚持
,为本,2,一支,一支,资源
,一支,2,求贤若渴,求贤若渴,努力
,领导,1,如金,如金,加大
,领军,1,唯才,唯才,完善
,还要,1,强省,强省,要素
,资源,1,,,
,责任感,1,,,
,计划,1,,,
,规模宏大,1,,,
,要素,1,,,
,落实,1,,,
,自主,1,,,
,紧迫感,1,,,
,第一,1,,,
,积极性,1,,,
,科技人员,1,,,
,百千万,1,,,
,爱才如命,1,,,
,激励机制,1,,,
,求贤若渴,1,,,
,更好,1,,,
,政策,1,,,
,推进,1,,,
,技术,1,,,
,战略,1,,,
,意识,1,,,
,强省,1,,,
,强烈,1,,,
,强化,1,,,
,强劲,1,,,
,干部,1,,,
,工程,1,,,
,实力,1,,,
,如金,1,,,
,奖励,1,,,
,培养,1,,,
,坚持,1,,,
,唯才,1,,,
,同时,1,,,
,各级,1,,,
,参与,1,,,
,努力,1,,,
,加快,1,,,
,加大,1,,,
,力度,1,,,
,创造性,1,,,
,创新型,1,,,
,分配,1,,,
,全面实施,1,,,
,充分调动,1,,,
,做到,1,,,
,使用,1,,,
,人才资源,1,,,
,为先,1,,,
,,,,,
经济高效，就是做大做强有比较优势的农业主导产业，着力提升农业集约经营水平，开拓农业的多种功能，拉长农业产业链，提高农产品附加值，使农业成为能够带动农民致富的高效产业；产品安全，就是以绿色消费为导向，大力发展优质安全的农产品，形成从农田到餐桌全过程的农产品质量安全保障体系，以绿色安全来提升农产品的市场竞争力；资源节约，就是从浙江农业资源短缺的实际出发，注重农业资源的节约使用、循环利用、综合开发，积极推广资源节约型生产经营模式；环境友好，就是按照人与自然和谐发展的要求，推进农业标准化清洁生产，加强农业污染治理和生态环境建设，实现农业可持续发展；技术密集，就是使科技进步成为农业增长的主要动力，大幅度提高农业的科技含量和科技贡献率，充分运用生物技术、信息技术、新材料技术提升种子种苗、种植养殖和农产品精深加工水平；凸显人力资源优势，就是从人多地少的实际出发，充分发挥精耕细作的优良传统，着力提高农业劳动者的科技文化素质，大力发展劳动密集型与技术密集型相结合的特色优势产业，挖掘农业就业增收的潜力，促进农业向广度和深度进军，使农业发展真正走上依靠科技进步和提高劳动者素质的轨道。,农业,16,农业,农业,科技
,农产品,5,农产品,农产品,发展
,就是,4,科技进步,科技进步,技术
,资源,3,提升,提升,建设
,提高,3,安全,安全,经济
,提升,3,资源,资源,加强
,技术,3,大力发展,大力发展,产业
,安全,3,高效,高效,实现
,发展,3,劳动者,劳动者,推进
,高效,2,着力,着力,农业
,绿色,2,就是,就是,提高
,科技进步,2,提高,提高,优势
,科技,2,技术,技术,资源
,着力,2,绿色,绿色,提升
,生产,2,加工水平,加工水平,促进
,是从,2,,,
,成为,2,,,
,实际,2,,,
,大力发展,2,,,
,劳动者,2,,,
,出发,2,,,
,优势,2,,,
,餐桌,1,,,
,集约经营,1,,,
,附加值,1,,,
,进军,1,,,
,轨道,1,,,
,走上,1,,,
,资源节约型,1,,,
,质量,1,,,
,贡献率,1,,,
,要求,1,,,
,节约使用,1,,,
,节约,1,,,
,致富,1,,,
,能够,1,,,
,综合,1,,,
,经营,1,,,
,经济,1,,,
,素质,1,,,
,精耕细作,1,,,
,精深,1,,,
,竞争力,1,,,
,积极,1,,,
,科技含量,1,,,
,种苗,1,,,
,种植,1,,,
,种子,1,,,
,短缺,1,,,
,真正,1,,,
,相结合,1,,,
,生物,1,,,
,生态环境,1,,,
,环境友好,1,,,
,特色,1,,,
,潜力,1,,,
,清洁,1,,,
,深度,1,,,
,消费,1,,,
,浙江,1,,,
,注重,1,,,
,治理,1,,,
,污染,1,,,
,水平,1,,,
,比较,1,,,
,模式,1,,,
,标准化,1,,,
,材料,1,,,
,文化素质,1,,,
,推进,1,,,
,推广,1,,,
,挖掘,1,,,
,按照,1,,,
,持续,1,,,
,拉长,1,,,
,技术密集,1,,,
,循环,1,,,
,形成,1,,,
,开拓,1,,,
,开发,1,,,
,建设,1,,,
,广度,1,,,
,带动,1,,,
,市场,1,,,
,就业,1,,,
,导向,1,,,
,密集型,1,,,
,实现,1,,,
,大幅度提高,1,,,
,多种,1,,,
,增长,1,,,
,增收,1,,,
,和谐,1,,,
,劳动密集型,1,,,
,动力,1,,,
,加强,1,,,
,加工水平,1,,,
,功能,1,,,
,利用,1,,,
,凸显,1,,,
,农田,1,,,
,农民,1,,,
,养殖,1,,,
,全过程,1,,,
,充分运用,1,,,
,充分发挥,1,,,
,信息技术,1,,,
,保障体系,1,,,
,促进,1,,,
,依靠,1,,,
,优质,1,,,
,优良传统,1,,,
,优势产业,1,,,
,人多地少,1,,,
,人力资源,1,,,
,人与自然,1,,,
,产品安全,1,,,
,产业链,1,,,
,产业,1,,,
,主要,1,,,
,主导产业,1,,,
,,,,,
按照建设创新型省份的要求，加快农业科技创新平台建设，引导涉农企业开展技术创新活动。按照建设资源节约型、环境友好型社会和农业功能多样化的要求，大力推进农作制度改革和生产模式创新，重点推广设施农业、循环农业、精准农业、休闲农业、有机农业等高效生态的生产模式。推进农业科技推广服务组织创新，围绕特色优势产业强县建设，组建由教育、科研、推广机构和行业协会等多方参与的区域性专业性科技服务组织，建立和完善首席专家、推广教授、科技特派员、责任农技员制度，构建农科教、产学研一体化的新型农技推广体系。,农业,8,农业,农业,创新
,推广,4,推广,推广,科技
,建设,4,建设,建设,建设
,科技,3,科技,科技,加快
,创新,3,创新,创新,企业
,要求,2,科技推广,科技推广,体系
,组织,2,模式,模式,社会
,生产,2,强县,强县,推进
,模式,2,农技员,农技员,农业
,服务,2,农科教,农科教,改革
,推进,2,农技,农技,服务
,按照,2,推进,推进,组织
,制度,2,首席专家,首席专家,构建
,高效,1,优势产业,优势产业,科研
,首席专家,1,服务,服务,完善
,重点,1,,,
,资源节约型,1,,,
,责任,1,,,
,设施,1,,,
,行业协会,1,,,
,组建,1,,,
,精准,1,,,
,科研,1,,,
,科技推广,1,,,
,社会,1,,,
,省份,1,,,
,生态,1,,,
,环境友好,1,,,
,特色,1,,,
,特派员,1,,,
,涉农,1,,,
,活动,1,,,
,构建,1,,,
,机构,1,,,
,有机,1,,,
,新型,1,,,
,教育,1,,,
,教授,1,,,
,改革,1,,,
,技术创新,1,,,
,循环,1,,,
,强县,1,,,
,引导,1,,,
,开展,1,,,
,建立,1,,,
,平台,1,,,
,完善,1,,,
,大力,1,,,
,多样化,1,,,
,多方,1,,,
,围绕,1,,,
,参与,1,,,
,区域性,1,,,
,加快,1,,,
,功能,1,,,
,创新型,1,,,
,农科教,1,,,
,农技员,1,,,
,农技,1,,,
,农作,1,,,
,体系,1,,,
,优势产业,1,,,
,休闲,1,,,
,企业,1,,,
,产学研,1,,,
,专业性,1,,,
,一体化,1,,,
,,,,,
建立健全政府对现代农业的支持和保护体系。建立以工促农、以城带乡的长效机制，切实提高政府运用财政手段支持农业发展的能力。巩固和完善支农惠农强农的政策，加大对农业基础设施建设、生态环境改善、农业科技研发、良种良法推广、农民培训教育等公共产品的供给力度。制定和完善农业产业导向、农业经营体制、农业资源保护、增加农业劳动者收入、保障农业劳动者权益等方面的政策和法规。积极引导工商资本和民间资金投资高效生态农业，引导多种投资主体参与发展农业信息、科技、保险、信贷等服务产业。充分发挥农村合作金融在现代农业发展中的作用，积极鼓励各级金融机构加大对农业的信贷支持力度，进一步完善政策性农业保险办法。支持发展农用工业和高效、实用、价廉的农业设施装备，加强先进适用农机具的示范推广，加快发展新型肥料、低毒高效农药等新型农业投入品，为高效生态的现代农业提供支撑和保障。,农业,12,农业,农业,科技
,发展,5,高效,高效,发展
,高效,4,现代农业,现代农业,建设
,支持,4,支持,支持,加快
,现代农业,3,完善,完善,加强
,完善,3,发展,发展,产业
,积极,2,劳动者,劳动者,合作
,科技,2,新型,新型,体系
,新型,2,推广,推广,农业
,政策,2,引导,引导,提高
,政府,2,保险,保险,资源
,推广,2,力度,力度,作用
,投资,2,保障,保障,能力
,引导,2,以工,以工,支持
,劳动者,2,促农,促农,积极
,加大,2,,,
,力度,2,,,
,信贷,2,,,
,保障,2,,,
,保险,2,,,
,保护,2,,,
,鼓励,1,,,
,长效机制,1,,,
,金融机构,1,,,
,金融,1,,,
,适用,1,,,
,进一步,1,,,
,运用,1,,,
,资金,1,,,
,资源,1,,,
,资本,1,,,
,财政,1,,,
,设施,1,,,
,装备,1,,,
,良种,1,,,
,良法,1,,,
,能力,1,,,
,肥料,1,,,
,经营,1,,,
,示范,1,,,
,研发,1,,,
,生态环境,1,,,
,生态农业,1,,,
,生态,1,,,
,法规,1,,,
,民间,1,,,
,权益,1,,,
,服务,1,,,
,方面,1,,,
,教育,1,,,
,政策性,1,,,
,改善,1,,,
,收入,1,,,
,支撑,1,,,
,提高,1,,,
,提供,1,,,
,投入品,1,,,
,手段,1,,,
,强农,1,,,
,建设,1,,,
,建立健全,1,,,
,建立,1,,,
,巩固,1,,,
,工商,1,,,
,工业,1,,,
,导向,1,,,
,实用,1,,,
,多种,1,,,
,增加,1,,,
,基础设施,1,,,
,培训,1,,,
,合作,1,,,
,各级,1,,,
,参与,1,,,
,加快,1,,,
,加强,1,,,
,办法,1,,,
,制定,1,,,
,切实,1,,,
,农药,1,,,
,农用,1,,,
,农民,1,,,
,农村,1,,,
,农机具,1,,,
,农惠农,1,,,
,农业产业,1,,,
,公共,1,,,
,先进,1,,,
,充分发挥,1,,,
,信息,1,,,
,促农,1,,,
,供给,1,,,
,作用,1,,,
,体系,1,,,
,体制,1,,,
,低毒,1,,,
,价廉,1,,,
,以工,1,,,
,以城带,1,,,
,产品,1,,,
,产业,1,,,
,主体,1,,,
,,,,,
加强对经济、科技、法律、哲学、历史、文学等各领域的涉猎，登高望远，洞察规律。从而不断充实自己、完善自己，丰厚思想底蕴，切实增强自身的政治素质、战略素质和科学文化素质，努力提高领导科学发展能力、驾驭复杂局面能力、协调利益关系能力和务实创新能力。,能力,3,能力,能力,科技
,自己,2,登高望远,登高望远,发展
,科学,2,政治素质,政治素质,经济
,驾驭,1,科学,科学,加强
,领导,1,文化素质,文化素质,科学
,领域,1,底蕴,底蕴,领域
,规律,1,涉猎,涉猎,战略
,自身,1,洞察,洞察,能力
,经济,1,切实增强,切实增强,不断
,素质,1,努力提高,努力提高,创新能力
,科技,1,务实,务实,完善
,登高望远,1,驾驭,驾驭,领导
,涉猎,1,创新能力,创新能力,自己
,洞察,1,丰厚,丰厚,规律
,法律,1,充实,充实,素质
,文学,1,,,
,文化素质,1,,,
,政治素质,1,,,
,战略,1,,,
,思想,1,,,
,底蕴,1,,,
,局面,1,,,
,完善,1,,,
,复杂,1,,,
,哲学,1,,,
,发展,1,,,
,历史,1,,,
,协调,1,,,
,努力提高,1,,,
,务实,1,,,
,加强,1,,,
,利益,1,,,
,创新能力,1,,,
,切实增强,1,,,
,关系,1,,,
,充实,1,,,
,从而,1,,,
,丰厚,1,,,
,不断,1,,,
,,,,,
我们要站在新的历史起点上，科学分析我国全面参与经济全球化的新机遇新挑战，深刻把握我国发展面临的新课题新矛盾，加快转变经济发展方式，走中国特色新型工业化道路，坚持创新驱动、坚持城乡统筹、坚持节约资源和保护环境、坚持内外协调、坚持改善民生，促进经济增长由主要依靠投资、出口拉动向依靠消费、投资、出口协调拉动转变，由主要依靠第二产业带动向依靠第一、第二、第三产业协同带动转变，由主要依靠增加物质资源消耗向主要依靠科技进步、劳动者素质提高、管理创新转变。,依靠,6,依靠,依靠,创新
,坚持,5,坚持,坚持,发展
,转变,4,转变,转变,经济
,主要,4,主要,主要,加快
,经济,3,拉动,拉动,我国
,拉动,2,协调,协调,我们
,投资,2,带动,带动,中国
,我国,2,创新,创新,坚持
,带动,2,节约资源,节约资源,提高
,发展,2,出口,出口,资源
,协调,2,科学分析,科学分析,促进
,创新,2,经济,经济,全面
,出口,2,新机遇,新机遇,驱动
,驱动,1,第二产业,第二产业,第一
,面临,1,我国,我国,管理
,道路,1,,,
,起点,1,,,
,资源,1,,,
,课题,1,,,
,节约资源,1,,,
,统筹,1,,,
,素质,1,,,
,管理,1,,,
,第二产业,1,,,
,第二,1,,,
,第三产业,1,,,
,第一,1,,,
,科技进步,1,,,
,科学分析,1,,,
,矛盾,1,,,
,特色,1,,,
,物质,1,,,
,深刻,1,,,
,消费,1,,,
,消耗,1,,,
,民生,1,,,
,方式,1,,,
,新机遇,1,,,
,新型,1,,,
,改善,1,,,
,提高,1,,,
,挑战,1,,,
,把握,1,,,
,我们,1,,,
,工业化,1,,,
,增长,1,,,
,增加,1,,,
,城乡,1,,,
,参与,1,,,
,历史,1,,,
,协同,1,,,
,劳动者,1,,,
,加快,1,,,
,内外,1,,,
,全面,1,,,
,全球化,1,,,
,保护环境,1,,,
,促进,1,,,
,中国,1,,,
,,,,,
希望两国企业界发扬创新精神，不断探索高新技术、职业教育、环境治理等新的合作领域，努力发展商会、行业组织、中小企业等新的合作渠道，积极探讨风险创业投资等新的合作模式，形成双边经贸合作发展和两国产业结构升级相互促进的良好局面。,合作,3,合作,合作,创新
,发展,2,环境治理,环境治理,发展
,高新技术,1,相互促进,相互促进,合作
,风险,1,企业界,企业界,领域
,领域,1,经贸合作,经贸合作,形成
,行业,1,创业投资,创业投资,不断
,良好,1,商会,商会,积极
,职业,1,发扬,发扬,精神
,经贸合作,1,双边,双边,努力
,组织,1,高新技术,高新技术,组织
,精神,1,产业结构,产业结构,希望
,积极,1,发展,发展,探索
,相互促进,1,探讨,探讨,模式
,环境治理,1,探索,探索,教育
,渠道,1,两国,两国,高新技术
,模式,1,,,
,教育,1,,,
,探讨,1,,,
,探索,1,,,
,形成,1,,,
,希望,1,,,
,局面,1,,,
,商会,1,,,
,发扬,1,,,
,双边,1,,,
,升级,1,,,
,努力,1,,,
,创新,1,,,
,创业投资,1,,,
,企业界,1,,,
,产业结构,1,,,
,中小企业,1,,,
,两国,1,,,
,不断,1,,,
,,,,,
中国将大力推进能源领域的科技进步和创新，增强自主创新能力，突破能源发展技术瓶颈，开创能源开发利用新途径，增强发展后劲。,能源,2,能源,能源,创新
,增强,2,增强,增强,发展
,发展,2,能源开发,能源开发,技术
,领域,1,新途径,新途径,中国
,自主,1,科技进步,科技进步,领域
,能源开发,1,后劲,后劲,自主
,突破,1,创新能力,创新能力,推进
,科技进步,1,瓶颈,瓶颈,突破
,瓶颈,1,开创,开创,创新能力
,新途径,1,发展,发展,增强
,推进,1,大力,大力,大力
,技术,1,自主,自主,能源
,开创,1,创新,创新,科技进步
,大力,1,推进,推进,利用
,后劲,1,突破,突破,瓶颈
,利用,1,,,
,创新能力,1,,,
,创新,1,,,
,中国,1,,,
,,,,,
